Target,Text
1,"Movie is so boring and very unrealistic, people only gives good reviews because they think it's insulting or disrespectful to Paul Walker which it isn't. Movie is so unrealistic and boring, actors are so boring throughout the series and people think they are good actors only because of their looks. Like really? Driving one building to another? So unrealistic nobody wouldn't do that on real life unless they can land on the ground safely. I feel like I'm the only person in the universe who's smart enough to know how fake this movie is, people acts like they did all this in real life when they didn't. Also it's lame how their character won't die as if they are immortal which isn't possible in real life. It so easy to not die in movies it's like Call Of Duty where you can't die in campaign or else you're stuck in one mission and can't proceed."
1,"I never understood why this franchise always made so much money and why so many people like it. Unless you like to see half naked women sponging on wet cars, cars with modified engines used in street races (and of course it's all done in a team of outlaw guys, the so-called ""family"", against other teams with people with similar desires) and to escape the police (police haters, they should inflate the scores here in IMDb), and to illicit traffic drugs and money, this type of film is not for you.I have a theory of mine because this series remains strong in the box office and each film gets better box office than the previous film of this franchise. The secret lies in the breakdown of our society. When this franchise began in 2001, our society was morally not decadent as it is today, nor so violent. In the last 16 years our society has grown worse and the values ​​of the old days began to disappear and our society and the moviegoers in general began to identify more and more ,each time, with the ""characters"" of this type of film. This is the only explanation, which I see, because every movie this franchise has billed every time the previous movie.Not anything, in this movie at the level of content or structure that is worth as a film, whether purely as fun / entertaining or for possible logical/ make you think. Not a single quality exists in this film (or in this franchise, but actually beyond the seventh film, I only saw the second film in this series (which I consider absolute crap).Anything. Plot is not interesting, shallow characters like a plate, unless you like what they do. Characters with generic lines and say cool one liner to impress the younger ones. Bureaucratic action scenes - two guys jump with a sport car at high speed between two skyscrapers. The damage is minimal, almost non-existent. Ridiculous ending. Chiché story and action scenes without suspense, tension or in a interesting way visually. At least.A waste of time, at least for me."
1,"the first one in the series was okay > Five was great; but #7 was terrible. I didn't think I would ever see a movie worse than ""Santa Claus vs the Martians"" (The Waterboy came close) but this was a stinker. I was bored and saddened by the flimsy plot and lack of meaningful acting - but then what in the script called for acting. This film was so bad when viewed two years ago I haven't been back to a theater since."
1,"If I am being punked - this is the best punk ever.If aliens were to ever come and visit the earth and they were find out about this movie, the planet would instantly and rightfully be destroyed in response.Every single line in the movie must have been written by a group of 15-year-old boys. Yet each line is delivered with such deluded certainty that the cringe worthiness is somehow confounded upon execution.The camera pans across Vin Diesel's face on occasion, this is great because it gives the audience ample opportunity to see his acting abilities which are equal to that of a shovel. If I had paid $15 to go to the cinema and stare at a blank white screen for 140 minutes instead I would have felt much better about the money I had spent and the overall experience.I hope I am dead before Fast and the Furious 30 comes out.The only thing more disappointing than the movie is the fact that people pay money to see this, and some of these people are adults, who live among us, work jobs and have licences to drive cars. Cars. Cars that are made of metal that drive on public streets.Regretfully the majority of people who have seen this film have the ability to vote and unfortunately there are currently no laws in place to circumvent this issue.Not only did I lose 140 minutes of my life but after looking at how much money this movie has grossed, I now feel unsafe amongst my fellow human.Please put a stop to this franchise before another one of these abominable crimes against humanity is created."
1,"An action movie can indeed have a great story and balance. The best action movie ever, in my opinion, is Terminator 2. The action is there, but there are also moments of low-key scenes to build up the story. When the action scenes arrives, they are set in context with the characters and the story.Fast 7 have very poor story boarding and a even worse story. The characters are very shallow with few exceptions. Some scenes are very embarrassing to watch, and the dialog in ""romanic"" moments are stolen from an essay from ground school. There are almost no breaks between the action scenes, and the overall music does not match the scenes very well.Fast 5 was in contrast a far better movie with more self-irony and a more ""trustworthy"" story. I suspect they have tried to amplify Fast 7 to make it even more spectacular. They failed in my opinion. The best part of the movie is the very ending, but it is not in harmony with the rest of the movie at all. I was very furious after watching this movie - it is a waste of time and money."
1,"If you know anything about cars, how the Internet works, or can differentiate between real and cartoon violence, you will not enjoy this movie. Don't get me wrong, I love the corny lines and the Hollywood portrayal of the Cali street racing scene of the first Fast and the Furious movie but watching a fat Vin Diesel acting and dressing like its still 1999 just makes me sad. The storyline in this movie is so bad, I wouldn't be surprised if you told me Vin Diesel wrote the script in crayon himself. My expectations for this movie were extremely low. This movie makes Transformers: Age of Extinction look like Citizen Kane."
1,The dialogue is at a first-grade level or worse. Over-the-top melodrama and the acting is ridiculously awful. I honestly don't know how American cinema could dumb itself down any more than this.
1,"This movie is a steaming pile of manure which has put another nail in the coffin of car culture, I feel happy for Paul Walker that he's dead as it means he won't have to waste 2 and a half hours of his life watching this abomination.Vin Diesel said this movie would probably win the best movie at the Oscars, well he must be on some seriously good crack or PCP these days as he's completely delusional, this movie will more than likely win a Razzie if anything, I mean cars that fly??? holy s*%#!!! Having head on collisions and just walking away???This movie is made for 12 year old kids who have no idea what real car culture is all about, it might keep the flat peak generation happy but anyone with half a brain will be truly disappointed, if I could give it half a star I would"
1,"I am typing this out as I am watching this ""film"" and it is so completely seizure inducing and devoid of any plot or logic it's an embarrassment to legitimate films everywhere. An ADD movie for ADD audiences, I quite literally could not follow a single thing going on during this fiasco. The only .5+ is Kurt Russell my favorite actor giving a good performance to no avail sadly.This is my first 'Furious' film I have ever seen and I have to say my hands we're flying in the air the whole time saying ""what the hell is going on??!"". Impossible scenarios, indestructible human beings, zero humor, I felt like I was watching a 2-hour Snoop Dogg video. How about this gem for dialogue...Ludicrous: you said dibs what are you in the 4th grade? 5 seconds later...let's Rock, Paper, Scissors for it. Asinine!A true digital steam pile for the lobotomized, young, or immature to fully enjoy."
1,"I saw this movie tonight, at 19:00 at Event Cinemas. I was looking forward to this movie before Paul Walker passed. Prolonging the release was horrible, but I'm glad they took the time to finish the franchise instead of throwing everything together and calling it quits.The thing that stands out about the Fast and Furious (FnF) is how much the characters value themselves as family, NOT friends. The family aspect felt stronger than ever in FnF7, which brung Sean Boswell into play with Dom.With a different director, the action shots & camera affects were better than every before seen in FnF. Fight scenes were amazing, though they could never top Dwayne Johnson & Vin Diesel! ;) Tyrese Gibson kept the comedy going while Vin Diesel dominated the drama side of things, and of course the action. The action was amazing, as always, and the cars were just as fast. No let downs there!The most amazing thing about this movie, to me, was the archive footage of Paul Walker, which in fact was filmed by himself. (Some of it.) The last 5 - 10 minutes were the actors, relaxing on a beach, remembering Paul Walker, were they in character? That's up to you to decide.This franchise couldn't of been as successful as it was without Paul Walker. He was an amazing person, and he couldn't have received a more touching goodbye. Rest In Peace, Paul."
1,"I was looking forward seeing this movie. Simply because I enjoy action flicks sometimes -- because of the simplicity. But the dialogues are so astoundingly bad that I had to throw up after 9 minutes. Literally. Well, 10 minutes rest and I gave it another try. I have seen a short, very unrealistic action sequence (if Force still is the factor of mass and acceleration, the two guys must have been killed each other 3 times in 1 minute) in which 2 people finally survived an explosion plus the resulting fall of about 5 meters. Through glass of course. Followed by a cliché scene in which we learn about the pregnancy of another character. This. Is. So. Wow. Nooooo!!! What the hell??? Do it as I did: don't see it at all. These were the worst first 15 minutest of an action movie that I will ever see."
1,"But I'm giving it a 1, because of all the Walker Dead fans who upvoted. Will adjust after it's between that range. As for the franchise, it's flogging a dead horse. I mean they had started with drag racing, went on to drifting... this installment literally had cars flying EVERYWHERE.Smashing, jumping, flying, floating, cloning (Maserati), mating (Jeep?) cars... And The ROCK gets a car (sort of) too! Plot is par for the course, slightly dumbed down for the audience of today. (E.g. Kurt Russell's role and the MacGuffin tech nonsense)Overall, enjoyable show especially near the end where the action crosses into the ridiculous territory. Next installment, do F1 please."
1,"Plot: cars, cars falling out of aircraft, cars ramping between skyscrapers, bullet-proof cars, car races, fights, explosions. Pretty much all manner of random stuff involving cars, plus, to a much smaller extent, other stuff, with no real link between one scene and the next.As you can tell, there is really nothing plausible or even good about this movie. Just random action scenes, generally involving cars, strung together. Absolutely nothing makes sense, or even tries to make sense - the plot is that non-existent.Hammy acting to go with the lack of plot and torrent of ridiculous action scenes. Not that surprising, considering the cast. Kurt Russell is capable of a lot better though.Clearly made for people who just need explosions and fast cars to be entertained. Even a plot would be too much of a stretch for their brains. The producers must be laughing all the way to the bank - easiest money they ever made."
1,"The story is so plain obvious. The facts are not not researched properly. No surprises along the story, nothing that made me interest to keep watching. If I would not be so angry at how bad it was while I was watching I would have fallen asleep in the theater. The effect are great! And the acting as well, its spot on. But the story as a hole and the plot. If your an 3 year old you will surely enjoy it."
1,"this movie was damn trash, I had to sit there for 2 and a half hours just to cringe and sigh at everything. Yeah the movie had a nice tribute to it at the end, the CGI/animations and the special effects were great. But the whole movie was just so predictable, and the action scenes were highly unrealistic, for example around the end when Toretto and Shaw were fighting they were punching each other really hard, a normal man would not be able to fight after that, one of those hits to the jaw and its done for you. Another thing that made me sigh was all the cheesy one liners in the movies, when Hobbs was about to go kick ass he spoke to his daughter and he said 'daddy's gotta go to work', now I've heard that damn line around 7 thousand times in movies. Not to mention that the action scenes in the movie looked like they were written by a 8 year old. Jumping out of planes in cars? I mean really, it's basically impossible to do that with a parachute AND land on the road successfully. One of the dumbest parts in the movie is when Shaw and Toretto basically drove into each other, like what? that is the stupidest thing I've ever seen in a movie, and the fact that they both just hopped out of the car, stretched some muscles and started fighting again was even more stupid, you wouldn't be able to do that in real life. And when Jakande was in the helicopter flying around in the city for about half an hour, you'd think the swat team would be on to that in no time, not just a few police cars. And there is no way that Hobbs could just pick up a giant machine gun and know how to use it, let alone stand in the middle of the road and start firing at a damn helicopter, like c'mon seriously people? I seen almost every review saying oh this movie was amazing and a touching tribute, but the whole movie was genetically manifested to just make money, and that's exactly what it did. For this movie I give the acting a 5.5/10 the effects a 9/10 and the story a 2/10overall a disappointing movie."
1,"Seeing this movie means that I will now have to go back and change the only film that I ever rated 1 star previously and give it a 10, because literally this film is so absolutely god-awful that it makes the worst movie I have ever seen previously look like pure gold.Let me be frank, this is not a movie. It's a cartoon with real actors. I understand this is not supposed to be realistic of course, but on no level at all can this be considered good. I mean it looks like it's been written by a sexually frustrated 13 year old boy who only eats sugar. The plot is so illogically ridiculous, so full of holes and nonsensical developments that it makes my three old niece sound like an astrophysicist. The action sequences are all totally pointless because in the end none of the good guys are ever in any danger whatsoever and I would not have been surprised even if Vin Diesel had taken a direct hit to the face with a nuclear missile and still walked away with a Hollywood smile. What's the point?Asides from the absolutely appalling plot, narrative, acting, the cringingly immature script, the awkwardly grotesque directing and the inane and utterly boring repetition, the 'film' manages to fill the moments in between explosions with shots of scantily clothed females lounging around super cars. Which just proves my theory that James Wan and Chris Morgan got the inspiration for this flick while they where snorting cocaine off a prostitute's butt, in a bed made of thousand dollar bills, while playing GTAV.But in the end I can't blame the creators of this junk-food film, because judging by the hundreds upon hundreds of millions of dollars it made they are actually making the kind of movie people love. Which, in the words of Alejandro G. Iñárritu, goes to show that, ""Popularity is the slutty little cousin of prestige."" But if you do love this film then thats fine of course. As long you're 15 and under and you really don't know the difference between a film and a cheeseburger. Awful."
1,"This is actually man of steel movies without the costumes and henry cavill and zack and nolan!!!!okay.. so a nice action movie can be enjoyed even if the story is wobbly. but seriously.!!! we are not watching fiction here are we??.there is a 900 feet backward car tumble in a rocky mountain and vin diesel walk out unscratched@!!in the last scene he drives the car of a 6th or 7th floor parking into a chopper ( DIE HARD copy BTW), somehow manages to hang a bag of grenades on the chopper and then crashes down and walks again.i mean .. keep it real guys.also toooo muchh of action and action and actionnnnn and its actually boring.. its mindless. its like watching cockfights. the cocks are killing each other. they just don't know why.rock looks stupid.. biggest disappointment.If paul walker were watching, he wd go.. "" guys make a good movie that would make people remember the series . forget the last 5 minutes tribute to me.. Just rock ""just disappointed ..."
1,"How does garbage like this get a 7+ rating? This movie has several of my favorite stars, but it is one of the dumbest movies of all time. The special effects went so far beyond reasonable, that they just make you groan.Here is an example: The need to catch a truck, so they decide to get in a cargo plane. They drive their cars out of the cargo plane and parachute down to the road. While in the air, they are steering their cars to navigate them. All (but one for comical relief) land perfectly on the road.If people stopped watching trash like this, Hollywood would be forced to put out better movies. But as long as movies like this get a 7+ rating, Hollywood will continue to make dumber and dumber movies.Get real"
1,"To be honest I can only review the first half of this film. I am amazed that I was able to last that long. At that point I had lost the will to go on breathing.A whole lot of muscly men with mediocre acting ability (which is not stretched in this film), scantily dressed women, exotic cars and really juvenile dialogue combined with a plot that you could write on a postage stamp.If you can't tie your own laces or are out of your head on something this may be made for you. Otherwise steer well clear. It's not even bad in a funny way."
1,"I am a big fan of the F&F series & thats why i wanted to this movie to be somewhat exceptional, especially for Paul but this movie was full of unrealistic events. Surely, a lot of people would love to see cars falling out of the sky. Some might even love the special effects but I didn't. The stuns and most of the actions made no sense. Lemme explain why:1- The unrealistic stuff started from the parachute landing, i know that they did throw out cars from the sky for real but if you ever studied physics you'd know what would happen to a car if it falls down from sky to ground, even with a parachute! Also the way Dom went through from one building to another breaking glasses, made me think If I was watching ""Shaolin Racing"" a sequel of Shaolin Soccer. 2- Dom & his crew pull out that parachute stunt with the help of govt officials to rescue this hacker called Ramsey, but at the same spot Deckard Shaw appeared out of blue, without any problems. 3- When Dom & his crew went to that Jordanian Prince's mansion to retrieve Ramsey's chip, they faced Deckard Shaw again who appeared with a gun in his hands. The whole mansion was loaded with security officials thats why Taz had to hack their system so that Dom, Letti & Brian get to recover the chip, but Shaw was at his ease and appeared as a superhero.4- When Shaw threw a grenade at Hobbs, the whole apartment got destroyed buy at the same apartment Shaw was fine & safe because he was hiding behind a wooden table. The grenade that can destroy an entire apartment, can't cause damage to a table? Well Shaw didn't even get any scratches, his face was just covered with a little dust.5- When Dom followed and found Shaw, Govt officials came out of nowhere and intervened. Because of the govt officials Shaw managed to escape and right after that the govt officials asked Dom to catch Shaw with the help of God's eye. Why go through so much trouble when you could have already arrested Shaw? Couldn't you rescue Ramsey & God's Eye after arresting Shaw? Overall, Furious seven is a awful movie. And please, don't rate this movie high because of Paul, we all love him but please let's be honest here. Thank You"
1,"The whole movie just seem so fake, very poor quality of production adding Paul walker in was mistake, it didn't seem realistic at all.this could the worst out of all the movies.I last few seem to be quite OK ..above average But this just seem farcical.....almost couldn't watch it all.All the cast and crew should have said OK maybe we shouldn't release this.If they make another the need to go back to the other directors and james wan should stay with horror type movies.It was nice, the ending part to paul walker hope xxx 3 is better than this"
